Header,Section
Stock trading platform Robinhood to launch in UK after two failed attempts,Technology
Elon Musk says he won’t vote for Biden over Trump,Technology
"Elon Musk claims advertisers are trying to ‘blackmail’ him, says ‘Go f--- yourself’",Technology
FTC Chair Lina Khan defends track record on blocking mergers and doesn’t subscribe to Amazon Prime,Technology
Salesforce shares jump on better-than-expected earnings report,Technology
Nvidia CEO Jensen Huang says AI will be ‘fairly competitive’ with humans in 5 years,Technology
"Nvidia CEO: Senior executives don’t need pampering, career guidance",Technology
Nvidia CEO: U.S. chipmakers at least a decade away from China supply chain independence,Technology
Okta hackers stole data on all customer support users in major breach,Technology
"Google Maps changed colors and some people are upset, including a former designer",Technology
Apple is trying to unwind its Goldman Sachs credit card partnership,Technology
Pinduoduo parent sees transaction revenue surge 315% as Chinese consumers hunt for bargains,Technology
Meta updates political advertising rules to cover AI-generated images and videos,Technology
"Amazon announces Q, an AI chatbot for businesses",Technology
OpenAI rival Hugging Face says it’s seeing more client interest after Sam Altman fiasco,Technology
Amazon announces new AI chip as it deepens Nvidia relationship,Technology
UK regulators say Adobe’s $20 billion Figma acquisition could harm competition,Technology
Amazon touts ‘record-breaking’ sales in kickoff to holiday shopping season,Technology
Activist pressure increases on Twilio after Anson takes stake,Technology
Amazon wants businesses to use its palm-scanning tech to let employees into the office,Technology
SenseTime plunges after short seller alleges the Chinese AI firm inflated revenue,Technology
"European tech funding halves to $45 billion, back to pre-Covid levels — but AI is a bright spot",Technology
E-commerce stocks rally after Black Friday shoppers spend record online,Technology
Binance founder Changpeng Zhao ordered by judge to stay in U.S. ahead of prison sentencing,Technology
iRobot shares plunge 17% after EU warns Amazon deal ‘may restrict competition’,Technology
"Finnish startup Varjo launches new $3,990 mixed-reality headset to take on Apple, Microsoft",Technology
Tesla sues Swedish government after postal workers allegedly block license plate deliveries,Technology
Tesla beats claim that it fired factory workers amid union campaign,Technology
Apple iPhone maker Foxconn to invest $1.5 billion in India as it looks to build beyond China,Technology
Coinbase CEO says crypto industry can turn the page after historic Binance settlement,Technology
Flying taxi firm Lilium receives EU approval for its electric jets,Technology
TikTok owner ByteDance axes hundreds of jobs in gaming unit,Technology
"Israel hosts wartime visit by Elon Musk, eyes Starlink for Gaza",Technology
iRobot shares close up 39% on report Amazon deal set to get EU approval,Technology
"Bitcoin rises to new high for the year Friday above $38,000",Technology
Nvidia shares close down on report it delays China AI chip designed to comply with U.S. export rules,Technology
China’s Alibaba shakes up cloud unit management after scrapping the division’s IPO,Technology
Global smartphone sales rebound in October after declining for more than 2 years: Counterpoint,Technology
$115 million stolen from two crypto firms linked to Justin Sun after hack,Technology
Sam Altman’s back. Here’s who’s on the new OpenAI board and who’s out,Technology
OpenAI brings Sam Altman back as CEO less than a week after he was fired by board,Technology
How Meta could benefit from the OpenAI shakeup,Technology
"Binance users pull more than $1 billion from the exchange after CEO leaves, pleads guilty",Technology
Huawei’s smartphone spinoff Honor plans IPO,Technology
